time,x,y,force
824,23,84,17.25
825,23,78,21.96
826,23,79,23.53
827,23,80,6.27
828,23,81,1.57
829,23,82,4.71
830,23,83,25.10
831,23,84,17.25
832,23,78,21.96
833,23,79,25.10
834,23,80,6.27
835,23,81,1.57
836,23,82,6.27
837,23,83,25.10
838,23,84,18.82
839,23,78,21.96
840,23,79,26.67
841,23,80,6.27
842,23,81,1.57
843,23,82,6.27
844,23,83,26.67
845,23,84,20.39
846,23,78,23.53
847,23,79,28.24
848,23,80,7.84
849,23,81,1.57
850,23,82,6.27
851,23,83,26.67
852,23,84,20.39
853,23,78,23.53
854,23,79,28.24
855,23,80,7.84
856,23,81,1.57
857,23,82,6.27
858,23,83,28.24
859,23,84,21.96
860,23,78,23.53
861,23,79,29.80
862,23,80,7.84
863,23,81,1.57
864,23,82,6.27
865,23,83,29.80
866,23,84,23.53
867,23,78,23.53
868,23,79,29.80
869,23,80,7.84
870,23,81,1.57
871,23,82,6.27
872,23,83,29.80
873,23,84,25.10
874,23,85,1.57
875,23,78,23.53
876,23,79,29.80
877,23,80,7.84
878,23,81,1.57
879,23,82,6.27
880,23,83,31.37
881,23,84,26.67
882,23,85,1.57
883,23,78,23.53
884,23,79,31.37
885,23,80,7.84
886,23,81,3.14
887,23,82,7.84
888,23,83,32.94
889,23,84,28.24
890,23,85,1.57
891,23,78,21.96
892,23,79,29.80
893,23,80,9.41
894,23,81,3.14
895,23,82,7.84
896,23,83,34.51
897,23,84,29.80
898,23,85,1.57
899,23,78,21.96
900,23,79,29.80
901,23,80,9.41
902,23,81,3.14
903,23,82,7.84
904,23,83,34.51
905,23,84,31.37
906,23,85,3.14
907,23,78,20.39
908,23,79,29.80
909,23,80,9.41
910,23,81,3.14
911,23,82,7.84
912,23,83,36.08
913,23,84,32.94
914,23,85,3.14
915,23,78,18.82
916,23,79,28.24
917,23,80,9.41
918,23,81,3.14
919,23,82,9.41
920,23,83,37.65
921,23,84,36.08
922,23,85,3.14
923,23,78,17.25
924,23,79,26.67
925,23,80,9.41
926,23,81,3.14
927,23,82,9.41
928,23,83,39.22
929,23,84,37.65
930,23,85,4.71
931,23,78,15.69
932,23,79,25.10
933,23,80,9.41
934,23,81,3.14
935,23,82,9.41
936,23,83,42.35
937,23,84,40.78
938,23,85,4.71
939,23,78,12.55
940,23,79,21.96
941,23,80,9.41
942,23,81,3.14
943,23,82,10.98
944,23,83,43.92
945,23,84,43.92
946,23,85,6.27
947,23,78,9.41
948,23,79,18.82
949,23,80,7.84
950,23,81,3.14
951,23,82,10.98
952,23,83,45.49
953,23,84,47.06
954,23,85,6.27
955,23,78,6.27
956,23,79,14.12
957,23,80,6.27
958,23,81,3.14
959,23,82,10.98
